Word 1,Word 2,Cosine Similarity
admission,ticket,-0.13807527140795417
alcohol,chemistry,0.3436969704612787
aluminum,metal,0.07159172038873052
announcement,effort,-0.06133302284756033
announcement,news,0.0640444605415728
announcement,production,0.09976541145581312
announcement,warning,0.11584938700871719
architecture,century,-0.0871620195525956
arrival,hotel,-0.009482484275568867
atmosphere,landscape,0.0923024884423156
attempt,peace,0.07862493565611105
baby,mother,0.18574688850477222
bank,money,-0.008295381125258612
baseball,season,0.07891723765068413
bed,closet,0.09546444194751001
bird,cock,0.09335754688782641
bird,crane,0.009909658821242272
bishop,rabbi,-0.04038432938190469
board,recommendation,0.0505178817097665
book,library,0.15536005384559723
book,paper,0.1333799143314331
boy,lad,0.16601166456162977
bread,butter,0.06893105076235737
brother,monk,-0.07704430582799486
calculation,computation,0.05361460749969054
canyon,landscape,-0.01414512962895799
car,automobile,0.021292896441039214
car,flight,0.14413387080694062
cell,phone,0.042070540300998396
century,nation,0.3065770516761043
century,year,0.2996471719483432
championship,tournament,0.07548475742116506
change,attitude,0.1785004575465261
chord,smile,0.03939585795527625
closet,clothes,0.21910157693802215
coast,forest,0.11310357071906728
coast,hill,0.07445395499608577
coast,shore,0.16725724849292423
company,stock,0.08060534304354605
competition,price,0.07680272590579287
computer,laboratory,0.1637361351771634
computer,news,0.08809915753940585
consumer,confidence,0.024066903949755095
consumer,energy,0.14125448852749978
country,citizen,0.14711010936463514
credit,card,0.13551228340558394
credit,information,0.10159091740184337
cup,article,-0.002326160072408731
cup,coffee,0.13805065825977156
cup,drink,0.05258906609183729
cup,entity,0.03379681407555329
cup,food,0.040581120313621856
cup,liquid,0.09061857059906797
cup,object,0.047607428376492046
cup,substance,-0.042797879337950255
currency,market,0.09641038704776296
day,dawn,-0.10529500035457075
day,summer,0.3875178096405439
death,row,0.07693306928462322
delay,news,0.08988616419196978
development,issue,0.13533357296871684
direction,combination,0.12743361546712662
disability,death,0.06445949483806454
disaster,area,0.06223348462300811
discovery,space,0.15864374305623036
dividend,calculation,0.14397105027588744
dividend,payment,-0.022067403810458196
doctor,liability,0.10367780813060219
doctor,nurse,0.05988081657782616
doctor,personnel,0.06440332392242355
dollar,buck,-0.015708973057206928
dollar,loss,-0.09231514234024592
dollar,profit,0.17914581221197923
drink,car,0.038804504087378074
drink,ear,0.17149641646101607
drink,eat,-0.04833807196533843
drink,mother,-0.071628525861472
drink,mouth,0.23482630692642523
drug,abuse,0.012329179046408515
energy,crisis,0.0336417524161831
energy,laboratory,0.16431695962173437
energy,secretary,0.02966010218717645
equipment,maker,0.010112841578981242
experience,music,0.17286565025582623
family,planning,0.28078645342073005
fertility,egg,0.19200421244568186
five,month,0.2725445477222328
focus,life,0.1385945534746506
food,fruit,0.0008952332787451637
food,preparation,0.09119010160453937
football,basketball,0.06625681726105444
football,tennis,0.020907204581036395
forest,graveyard,0.01499131051257892
furnace,stove,0.11356614278078525
game,defeat,0.09551505634370762
game,round,-0.01542190032125634
game,series,0.198217714673544
game,team,0.19584792676665405
game,victory,-0.11507117023409111
glass,metal,0.1390425914618652
government,crisis,0.17270713180785935
governor,interview,0.0034129725039808143
governor,office,0.12175496304926019
grocery,money,-0.06205470347987924
holy,sex,0.009434513405533484
hotel,reservation,-0.07489810749520213
hundred,percent,0.28046699776914136
image,surface,0.23144766468326666
investigation,effort,0.0707458496130887
jaguar,car,0.2714311188094138
jaguar,cat,0.18474125172297892
journal,association,0.16203873065679386
journey,car,0.10888716885147579
journey,voyage,-0.0173083582763168
king,queen,0.10754901083072219
lad,brother,-0.11949210726617335
law,lawyer,0.12123779760512081
lawyer,evidence,-0.14419680287280573
liability,insurance,0.03244685854331734
life,death,0.3174046965755563
life,lesson,0.0007890249052105667
life,term,-0.007892858888767413
line,insurance,0.16819064530219674
liquid,water,0.08449708370513646
listing,category,0.11149868292149807
listing,proximity,0.20656799928528471
love,sex,0.14874922887408548
lover,quarrel,-0.06460713189043076
luxury,car,-0.08288287460374942
man,governor,0.13546482393060152
man,woman,0.6311154787347649
media,gain,0.11582324171799492
media,radio,0.11544780037605647
media,trading,0.12969667973093232
midday,noon,-0.15822454083680207
mile,kilometer,0.09147377120105678
minister,party,0.08120210129621351
ministry,culture,0.03328900827066163
minority,peace,0.16328999831793703
money,bank,-0.008295381125258612
money,cash,0.11785570604544247
money,cash,0.11785570604544247
money,currency,0.006368197588536457
money,deposit,0.026669048429390278
